code,kr-name
UDU999,토지형질변경규제지역기타
UDV000,개발제한미분류
UDV100,개발제한구역
UDV999,개발제한구역기타
UDW000,도시개발구역미분류
UDW100,도시개발구역
UDW999,도시개발구역기타
UDX000,건축용도지역미분류
UDX100,건축허가·착공제한지역
UDX200,가로구역별 최고높이 제한지역
UDX999,건축용도지역기타
UDY000,국민임대주택용도지역미분류
UDY100,국민임대주택단지예정지구
UDY999,국민임대주택용도지역기타
UDZ000,도시기타용도지역지구미분류
UDZ100,도시기타용도지역지구용도지역지구
UDZ999,도시기타용도지역지구기타
UEA000,농업진흥지역미분류
UEA100,농업진흥지역
UEA110,농업진흥구역
UEA120,농업보호구역
UEA999,농업진흥지역기타
UEB000,농어촌주거환경개선지구미분류
UEB100,농어촌주거환경개선지구
UEB999,농어촌주거환경개선지구기타
UEC000,농어촌정비미분류
UEC100,생활환경정비구역
UEC300,한계농지정비지구
UEC400,농업생산기반 정비사업지역
UEC500,마을정비구역
UEC600,농어촌 관광휴양단지
UEC700,공장 등 설립 제한 지역
UEC999,농어촌정비기타
UED000,가축보호지역미분류
UED100,가축보호지역
UED999,가축보호지역기타
UEE000,새만금사업지역미분류
UEE100,새만금사업지역
UEE999,새만금사업지역기타
UEF000,농업생산기반시설 및 주변지역 활용구역미분류
UEF100,농업생산기반시설 및 주변지역 활용구역
UEF999,농업생산기반시설 및 주변지역 활용구역기타
UEG000,영농여건불리농지미분류
UEG100,영농여건불리농지
UEG999,영농여건불리농지기타
UEZ000,농업기타용도지역지구미분류
UEZ100,농업기타용도지역지구용도지역지구
UEZ999,농업기타용도지역지구기타
UFD000,조수보호구미분류
UFD100,조수보호구
UFD200,수렵장
UFD300,금렵구
UFD999,조수보호구기타
UFE000,사방지미분류
UFE100,사방지
UFE999,사방지기타
UFF000,초지미분류
UFF100,초지
UFF200,사료작물재배지
UFF300,미개간지
UFF999,초지기타
UFG000,낙농지구미분류
UFG100,낙농지구
UFG999,낙농지구기타
UFH000,임업진흥촉진권역미분류
UFH100,임업진흥촉진권역
UFH999,임업진흥촉진권역기타
UFI000,수목원용도지역미분류
UFI100,국립수목원완충지역
UFI200,수목원조성예정지
UFI999,수목원용도지역기타
UFJ000,소유구분에따른산림미분류
UFJ100,국유림
UFJ200,공유림
UFJ300,사유림
UFJ999,소유구분에의한산림기타
UFK000,이용형태에따른산림미분류
UFK100,자연휴양림구역
UFK999,이용형태에따른산림기타
UFL000,산림기타용도지역지구미분류
UFL100,특수개발지역
UFL999,산림기타용도지역지구기타
UFM000,보전준보전산지미분류
UFM100,보전산지
UFM110,임업용산지
UFM120,공익용산지
UFM200,준보전산지
UFM999,보전준보전산지기타
UFN000,산지관리기타용도지역미분류
UFN100,산지전용제한지역
UFN200,채석허가제한지역
UFN400,채석단지
UFN500,토석채취제한지역
UFN999,산지관리기타용도지역기타
UFO000,백두대간보호용도지역미분류
UFO100,백두대간보호지역
UFO110,핵심구역
UFO120,완충구역
UFO999,백두대간보호용도지역기타
UFP000,임업및산촌진흥용도권역미분류
UFP100,임업진흥권역
UFP200,산촌진흥권역
UFP999,임업및산촌진흥용도권역기타
UFQ000,산림자원미분류
UFQ100,산림정화보호구역
UFQ200,특수산림사업지구
UFQ300,채종림구역
UFQ600,시험림구역
UFQ999,산림자원기타
UFR000,산림보호구역미분류
UFR100,산림보호구역
UFR110,생활환경보호구역
UFR120,수원함양보호구역
UFR130,경관보호구역
UFR140,재해방지보호구역(토석+비사+어촌)
UFR150,산림유전자원보호구역
UFR999,산림보호구역기타
UFZ000,산림기타용도지역지구미분류
UFZ100,산림기타용도지역지구용도지역지구
UFZ999,산림기타용도지역지구기타
UGA000,어항구역미분류
UGA100,어항구역(육역)
UGA200,어항구역(수역)
UGA999,어항구역기타
UGB000,수면미분류
UGB100,보호수면
UGB200,육성수면
UGB300,보호구역
UGB999,수면기타
UGC000,연안관리용도지역미분류
UGC100,연안육역
UGC200,핵심관리구역
UGC300,완충관리구역
UGC999,연안관리용도지역기타
UGD000,무인도서미분류
UGD100,절대보전무인도서
UGD200,준보전무인도서
UGD300,이용가능무인도서
UGD999,무인도서기타
UGZ000,수산기타용도지역지구미분류
UGZ100,수산기타용도지역지구용도지역지구
UGZ999,수산기타용도지역지구기타
UHA000,산업단지미분류
UHA100,국가산업단지
UHA200,지방산업단지
UHA210,일반산업단지
UHA220,도시첨단산업단지
UHA300,농공단지
UHA400,특수지역
UHA500,준산업단지
UHA600,공장입지유도지구
UHA700,재생사업지구
UHA999,산업단지기타
UHC000,공장입지미분류
UHC100,공장입지금지지역
