code,kr-name
00,지정되지않음
01,광대로한면
02,광대소각
03,광대세각
04,중로한면
05,중로각지
06,소로한면
07,소로각지
08,세로한면(가)
09,세로각지(가)
10,세로한면(불)
11,세로각지(불)
