PNU,Year,Month,Price,DealArea,PblntfPclnd,RegstrSe,Lndcgr,LndpclAr,PrposArea1,PrposArea2,LadUseSittn,TpgrphHg,TpgrphFrm,RoadSide,PclndIndex,PclndChgRt,AcmtlPclndChgRt,LargeClPclndIndex,LargeClPclndChgRt,LargeClAcmtlPclndChgRt,PPI,CPI,MT1,MT1_500m,MT1_1000m,MT1_3000m,CS2,CS2_500m,CS2_1000m,CS2_3000m,PS3,PS3_500m,PS3_1000m,PS3_3000m,SC4,SC4_500m,SC4_1000m,SC4_3000m,AC5,AC5_500m,AC5_1000m,AC5_3000m,PK6,PK6_500m,PK6_1000m,PK6_3000m,OL7,OL7_500m,OL7_1000m,OL7_3000m,SW8,SW8_500m,SW8_1000m,SW8_3000m,BK9,BK9_500m,BK9_1000m,BK9_3000m,CT1,CT1_500m,CT1_1000m,CT1_3000m,AG2,AG2_500m,AG2_1000m,AG2_3000m,PO3,PO3_500m,PO3_1000m,PO3_3000m,AT4,AT4_500m,AT4_1000m,AT4_3000m,AD5,AD5_500m,AD5_1000m,AD5_3000m,FD6,FD6_500m,FD6_1000m,FD6_3000m,CE7,CE7_500m,CE7_1000m,CE7_3000m,HP8,HP8_500m,HP8_1000m,HP8_3000m,PM9,PM9_500m,PM9_1000m,PM9_3000m,LandUsePlans
4420038026101590001,2016,5,75338,5421.0,51400,Re1,Lc01,5421,A143,A200,Us510,Hg03,Fm07,Rs12,82.486,0.231,0.719,86.001,0.151,0.7,97.86,95.63,783,0,1,1,837,0,1,13,911,0,1,4,1661,0,0,3,1242,0,0,2,600,0,1,4,807,0,1,8,2701,0,0,1,835,0,1,15,4070,0,0,0,740,0,1,16,1064,0,0,3,121,5,15,51,752,0,1,4,448,4,20,104,590,0,2,11,1052,0,0,2,1123,0,0,2,UQA001(1)/UMZ100(1)/UFM200(3)/UQA430(1)
4420038024110450001,2021,2,268334,10248.4,232800,Re1,Lc09,10248.4,A132,A200,Us410,Hg02,Fm03,Rs05,93.992,0.291,0.594,95.483,0.205,0.41,105.91,101.58,1013,0,0,1,206,3,8,14,176,1,2,4,1391,0,0,2,1276,0,0,2,887,0,1,2,248,1,1,7,4009,0,0,0,222,5,10,13,3120,0,0,0,548,0,10,20,720,0,2,4,775,0,1,33,564,0,2,4,485,4,55,93,221,2,8,10,610,0,2,2,690,0,2,3,UMZ100(1)/UQA320(1)/UQS121(3)/UQS116(3)/UHJ300(3)/UHA210(1)/UQA001(1)/UHJ100(1)
4420038024105300000,2021,1,60482,3730.0,29000,Re1,Lc02,3730,A171,A200,Us610,Hg02,Fm03,Rs08,93.72,0.302,0.302,95.287,0.205,0.205,105.05,101.04,1902,0,0,2,1130,0,0,13,1090,0,0,4,1492,0,0,2,1447,0,0,1,1163,0,0,3,1135,0,0,6,4934,0,0,0,969,0,2,12,2867,0,0,1,1366,0,0,19,454,1,1,5,1695,0,0,23,1438,0,0,4,959,0,1,95,1146,0,0,12,1442,0,0,2,1481,0,0,3,UEA110(1)/ZQ0001(1)/UMZ100(1)/UQC001(1)
4122025626106570002,2016,5,546651,908.0,129300,Re1,Lc17,908,A164,A200,Us920,Hg01,Fm07,Rs04,73.517,0.39,1.238,78.069,0.183,0.723,97.86,95.63,4761,0,0,0,136,1,4,7,3045,0,0,0,1743,0,0,1,3307,0,0,0,2801,0,0,2,509,0,3,7,6005,0,0,0,937,0,1,4,3325,0,0,0,446,3,5,29,409,1,1,1,1324,0,0,8,1167,0,0,8,466,1,12,38,427,1,1,7,4446,0,0,0,3279,0,0,0,UMZ100(1)/UIA100(3)/UIF100(3)/UQQ902(1)/UIA200(2)/UQB100(1)/UQS114(3)
4122025626104120000,2015,6,97198,3498.0,80300,Re1,Lc02,3498,A171,A200,Us610,Hg02,Fm04,Rs12,71.094,0.252,0.76,76.773,0.155,0.768,100.82,94.909,4408,0,0,0,287,3,4,11,2942,0,0,1,1309,0,0,1,3706,0,0,0,2481,0,0,2,157,2,2,8,6099,0,0,0,470,1,1,6,2810,0,0,1,679,0,12,24,882,0,1,1,937,0,1,9,656,0,5,7,177,5,12,58,898,0,1,7,4063,0,0,0,2765,0,0,2,UQC001(1)/UMZ100(2)/UQQ902(3)/UEA110(1)/UQB100(3)
4122025625200080004,2019,11,369944,4726.0,119400,Re2,Lc05,6082,A163,A200,Us520,Hg03,Fm07,Rs10,90.105,0.3,4.735,88.949,0.36,3.918,103.41,99.481,2534,0,0,1,1025,0,0,25,1611,0,0,7,621,0,1,3,1778,0,0,6,1993,0,0,4,1510,0,0,9,5537,0,0,0,1766,0,0,18,1916,0,0,4,1026,0,0,47,2367,0,0,4,183,2,4,21,1290,0,0,8,1298,0,0,137,1838,0,0,17,2150,0,0,1,1899,0,0,2,UMZ100(1)/UQB200(1)
4122025621200460003,2016,6,70172,9122.0,95500,Re2,Lc05,9122,A162,A200,Us720,Hg03,Fm07,Rs09,73.86,0.466,1.71,78.242,0.222,0.947,98.09,95.611,1624,0,0,1,874,0,1,36,678,0,4,10,992,0,1,3,745,0,6,9,1431,0,0,5,1202,0,0,16,5621,0,0,0,767,0,1,25,2022,0,0,6,728,0,5,82,1425,0,0,5,301,2,6,27,1465,0,0,18,705,0,10,197,1092,0,0,22,1171,0,0,2,2004,0,0,4,UMZ100(1)/UOC999(1)/UQQ902(2)/UQB100(2)/UQB300(2)
4122025627100990005,2019,8,341549,5639.0,162900,Re1,Lc05,5639,A164,A200,Us530,Hg03,Fm07,Rs08,89.167,0.443,3.644,87.983,0.361,2.789,103.74,99.425,836,0,1,1,459,1,3,22,283,2,4,11,648,0,2,3,502,0,6,6,707,0,1,2,939,0,1,10,4955,0,0,0,515,0,4,14,1951,0,0,4,447,2,18,58,695,0,2,2,138,1,5,29,1107,0,0,5,433,4,39,126,623,0,6,15,558,0,1,1,1926,0,0,2,UMZ100(1)/UQQ902(1)/UFF100(3)/UQB100(1)
4122025628202640000,2021,11,177851,6050.0,103800,Re2,Lc05,6050,A164,A200,Us720,Hg02,Fm05,Rs10,96.902,0.227,3.305,96.486,0.354,3.95,113.23,103.87,406,1,1,2,440,4,6,20,773,0,1,12,589,0,1,2,1152,0,0,14,525,0,1,4,314,1,1,11,5177,0,0,0,392,3,4,14,2032,0,0,5,385,7,26,56,523,0,2,2,169,2,5,31,777,0,1,6,420,10,47,134,388,2,8,16,771,0,1,1,1481,0,0,1,UMZ100(1)/UQQ902(1)/UQB100(1)
4122025629101430019,2019,2,211704,10833.0,85500,Re1,Lc05,10833,A163,A200,Us750,Hg03,Fm07,Rs04,86.734,0.42,0.816,86.141,0.313,0.638,103.02,99.311,3338,0,0,0,1033,0,0,7,988,0,1,16,978,0,1,1,2641,0,0,15,2840,0,0,1,3013,0,0,0,7029,0,0,0,2927,0,0,2,3011,0,0,0,2661,0,0,5,3464,0,0,0,133,2,4,16,1033,0,0,1,162,2,2,20,2298,0,0,6,3338,0,0,0,3065,0,0,0,UMZ100(1)/UIA100(3)/UQM110(3)/UQB200(1)/UQS116(3)/UIA200(2)/UQQ902(3)/UQB100(3)
